Date,Country,VaccinatedRate
2022-03-06,Australia,85.67
2022-03-06,Canada,85.64
2022-03-06,Chile,92.76
2022-03-06,China,0.00
2022-03-06,Czechia,64.75
2022-03-06,Estonia,64.73
2022-03-06,Finland,80.37
2022-03-06,France,82.50
2022-03-06,Germany,75.71
2022-03-06,Greece,75.88
2022-03-06,Hungary,66.40
2022-03-06,Ireland,81.43
2022-03-06,Israel,76.22
2022-03-06,Italy,83.90
2022-03-06,Japan,80.76
2022-03-06,Latvia,71.91
2022-03-06,Lithuania,72.37
2022-03-06,Mexico,65.51
2022-03-06,New Zealand,0.00
2022-03-06,Norway,79.21
2022-03-06,Poland,0.00
2022-03-06,Portugal,95.02
2022-03-06,Slovakia,51.60
2022-03-06,Slovenia,60.81
2022-03-06,South Korea,86.59
2022-03-06,Switzerland,69.74
2022-03-06,Taiwan,81.21
2022-03-06,Turkey,67.86
2022-03-06,United Kingdom,77.23
2022-03-06,United States,76.34
