Date,Country,VaccinatedRate
2022-04-28,Australia,86.38
2022-04-28,Austria,0.00
2022-04-28,China,0.00
2022-04-28,Czechia,64.87
2022-04-28,Denmark,83.21
2022-04-28,Estonia,64.94
2022-04-28,France,82.62
2022-04-28,Germany,76.87
2022-04-28,Greece,76.27
2022-04-28,Hungary,66.50
2022-04-28,Israel,76.30
2022-04-28,Italy,84.08
2022-04-28,Japan,81.83
2022-04-28,Lithuania,72.51
2022-04-28,New Zealand,88.22
2022-04-28,Norway,79.31
2022-04-28,Poland,59.92
2022-04-28,Slovenia,60.86
2022-04-28,South Korea,86.89
2022-04-28,Sweden,77.04
2022-04-28,Taiwan,82.68
2022-04-28,Turkey,67.99
2022-04-28,United Kingdom,77.98
2022-04-28,United States,77.37
