Date,Country,VaccinatedRate
2022-03-03,Australia,85.61
2022-03-03,Canada,0.00
2022-03-03,Chile,92.71
2022-03-03,China,0.00
2022-03-03,Czechia,64.75
2022-03-03,Estonia,64.72
2022-03-03,Finland,0.00
2022-03-03,France,82.49
2022-03-03,Germany,75.68
2022-03-03,Greece,75.84
2022-03-03,Hungary,66.39
2022-03-03,Ireland,81.38
2022-03-03,Israel,76.22
2022-03-03,Italy,83.88
2022-03-03,Japan,80.73
2022-03-03,Latvia,71.90
2022-03-03,Lithuania,72.37
2022-03-03,Mexico,65.48
2022-03-03,New Zealand,0.00
2022-03-03,Norway,79.21
2022-03-03,Poland,59.61
2022-03-03,Portugal,95.02
2022-03-03,Slovenia,60.81
2022-03-03,South Korea,86.58
2022-03-03,Spain,87.89
2022-03-03,Sweden,76.84
2022-03-03,Switzerland,69.73
2022-03-03,Taiwan,81.16
2022-03-03,Turkey,67.85
2022-03-03,United Kingdom,77.20
2022-03-03,United States,76.27
