tDate,T_SideEffectUET,T_SideEffectUET_0Day,T_SideEffectUET_1_3Day,T_SideEffectUET_4_7Day,T_SideEffectUET_8_30Day,T_SideEffectUET_30DayMore,T_SideEffectUET_Avg,Man_SideEffectUET,Man_SideEffectUET_0Day,Man_SideEffectUET_1_3Day,Man_SideEffectUET_4_7Day,Man_SideEffectUET_8_30Day,Man_SideEffectUET_30DayMore,Man_SideEffectUET_Avg,Woman_SideEffectUET,Woman_SideEffectUET_0Day,Woman_SideEffectUET_1_3Day,Woman_SideEffectUET_4_7Day,Woman_SideEffectUET_8_30Day,Woman_SideEffectUET_30DayMore,Woman_SideEffectUET_Avg,Age19Less_SideEffectUET,Age19Less_SideEffectUET_0Day,Age19Less_SideEffectUET_1_3Day,Age19Less_SideEffectUET_4_7Day,Age19Less_SideEffectUET_8_30Day,Age19Less_SideEffectUET_30DayMore,Age19Less_SideEffectUET_Avg,Age20_29_SideEffectUET,Age20_29_SideEffectUET_0Day,Age20_29_SideEffectUET_1_3Day,Age20_29_SideEffectUET_4_7Day,Age20_29_SideEffectUET_8_30Day,Age20_29_SideEffectUET_30DayMore,Age20_29_SideEffectUET_Avg,Age30_39_SideEffectUET,Age30_39_SideEffectUET_0Day,Age30_39_SideEffectUET_1_3Day,Age30_39_SideEffectUET_4_7Day,Age30_39_SideEffectUET_8_30Day,Age30_39_SideEffectUET_30DayMore,Age30_39_SideEffectUET_Avg,Age40_49_SideEffectUET,Age40_49_SideEffectUET_0Day,Age40_49_SideEffectUET_1_3Day,Age40_49_SideEffectUET_4_7Day,Age40_49_SideEffectUET_8_30Day,Age40_49_SideEffectUET_30DayMore,Age40_49_SideEffectUET_Avg,Age50_59_SideEffectUET,Age50_59_SideEffectUET_0Day,Age50_59_SideEffectUET_1_3Day,Age50_59_SideEffectUET_4_7Day,Age50_59_SideEffectUET_8_30Day,Age50_59_SideEffectUET_30DayMore,Age50_59_SideEffectUET_Avg,Age60_69_SideEffectUET,Age60_69_SideEffectUET_0Day,Age60_69_SideEffectUET_1_3Day,Age60_69_SideEffectUET_4_7Day,Age80More_SideEffectUET_8_30Day,Age80More_SideEffectUET_30DayMore,Age80More_SideEffectUET_Avg,AZ_SideEffectUET,AZ_SideEffectUET_0Day,AZ_SideEffectUET_1_3Day,AZ_SideEffectUET_4_7Day,AZ_SideEffectUET_8_30Day,AZ_SideEffectUET_30DayMore,AZ_SideEffectUET_Avg,PF_SideEffectUET,PF_SideEffectUET_0Day,PF_SideEffectUET_1_3Day,PF_SideEffectUET_4_7Day,PF_SideEffectUET_8_30Day,PF_SideEffectUET_30DayMore,PF_SideEffectUET_Avg,M_SideEffectUET,M_SideEffectUET_0Day,M_SideEffectUET_1_3Day,M_SideEffectUET_4_7Day,M_SideEffectUET_8_30Day,M_SideEffectUET_30DayMore,M_SideEffectUET_Avg,J_SideEffectUET,J_SideEffectUET_0Day,J_SideEffectUET_1_3Day,J_SideEffectUET_4_7Day,J_SideEffectUET_8_30Day,J_SideEffectUET_30DayMore,J_SideEffectUET_Avg,NV_SideEffectUET,NV_SideEffectUET_0Day,NV_SideEffectUET_1_3Day,NV_SideEffectUET_4_7Day,NV_SideEffectUET_8_30Day,NV_SideEffectUET_30DayMore,NV_SideEffectUET_Avg,SC_SideEffectUET,SC_SideEffectUET_0Day,SC_SideEffectUET_1_3Day,SC_SideEffectUET_4_7Day,SC_SideEffectUET_8_30Day,SC_SideEffectUET_30DayMore,SC_SideEffectUET_Avg,M_BA_1_SideEffectUET,M_BA_1_SideEffectUET_0Day,M_BA_1_SideEffectUET_1_3Day,M_BA_1_SideEffectUET_4_7Day,M_BA_1_SideEffectUET_8_30Day,M_BA_1_SideEffectUET_30DayMore,M_BA_1_SideEffectUET_Avg,PF_BA_1_SideEffectUET,PF_BA_1_SideEffectUET_0Day,PF_BA_1_SideEffectUET_1_3Day,PF_BA_1_SideEffectUET_4_7Day,PF_BA_1_SideEffectUET_8_30Day,PF_BA_1_SideEffectUET_30DayMore,PF_BA_1_SideEffectUET_Avg,PF_BA_4mod5_SideEffectUET,PF_BA_4mod5_SideEffectUET_0Day,PF_BA_4mod5_SideEffectUET_1_3Day,PF_BA_4mod5_SideEffectUET_4_7Day,PF_BA_4mod5_SideEffectUET_8_30Day,PF_BA_4mod5_SideEffectUET_30DayMore,PF_BA_4mod5_SideEffectUET_Avg,1_SideEffectUET,1_SideEffectUET_0Day,1_SideEffectUET_1_3Day,1_SideEffectUET_4_7Day,1_SideEffectUET_8_30Day,1_SideEffectUET_30DayMore,1_SideEffectUET_Avg,2_SideEffectUET,2_SideEffectUET_0Day,2_SideEffectUET_1_3Day,2_SideEffectUET_4_7Day,2_SideEffectUET_8_30Day,2_SideEffectUET_30DayMore,2_SideEffectUET_Avg,3_SideEffectUET,3_SideEffectUET_0Day,3_SideEffectUET_1_3Day,3_SideEffectUET_4_7Day,3_SideEffectUET_8_30Day,3_SideEffectUET_30DayMore,3_SideEffectUET_Avg,4_SideEffectUET,4_SideEffectUET_0Day,4_SideEffectUET_1_3Day,4_SideEffectUET_4_7Day,4_SideEffectUET_8_30Day,4_SideEffectUET_30DayMore,4_SideEffectUET_Avg,Winter_SideEffectUET,Winter_SideEffectUET_0Day,Winter_SideEffectUET_1_3Day,Winter_SideEffectUET_4_7Day,Winter_SideEffectUET_8_30Day,Winter_SideEffectUET_30DayMore,Winter_SideEffectUET_Avg
2022-11-10,479712,479712,460432,19280,18967,17384,,172656,172656,163670,8986,12117,7775,,307056,307056,296762,10294,6857,9609,,26577,26577,25805,772,127,760,,81436,81436,79459,1977,437,1934,,78472,78472,76198,2274,887,2186,,80828,80828,78212,2616,1497,2467,,83570,83570,80468,3102,2747,2828,,80220,80220,76000,4220,4377,3783,,35583,35583,32877,2706,4177,2289,,13026,13026,11413,1613,4767,1137,,110320,110320,104540,5780,4777,5303,,245876,245876,235568,10308,1107,9201,,113038,113038,110347,2691,279,2412,,8883,8883,8476,4077,15,392,,1195,1195,1125,70,16,54,,1,1,1,0,0,0,1,399,399,375,247,2,22,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,56569,176571,170587,5984,6657,5319,
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,,,,,,,
