tDate,Population,Acc1_Inoc,Acc1_Rate,Acc2_Inoc,Acc2_Rate,Acc3_Inoc,Acc3_Rate,Acc4_Inoc,Acc4_Rate,AccWinter_Inoc,AccWinter_Rate,Age80More_Population,Age80More_1_Inoc,Age80More_1_Rate,Age80More_2_Inoc,Age80More_2_Rate,Age80More_3_Inoc,Age80More_3_Rate,Age80More_4_Inoc,Age80More_4_Rate,Age80More_Winter_Inoc,Age80More_Winter_Rate,Age70_79_Population,Age70_79_1_Inoc,Age70_79_1_Rate,Age70_79_2_Inoc,Age70_79_2_Rate,Age70_79_3_Inoc,Age70_79_3_Rate,Age70_79_4_Inoc,Age70_79_4_Rate,Age70_79_Winter_Inoc,Age70_79_Winter_Rate,Age60_69_Population,Age60_69_1_Inoc,Age60_69_1_Rate,Age60_69_2_Inoc,Age60_69_2_Rate,Age60_69_3_Inoc,Age60_69_3_Rate,Age60_69_4_Inoc,Age60_69_4_Rate,Age60_69_Winter_Inoc,Age60_69_Winter_Rate,Age50_59_Population,Age50_59_1_Inoc,Age50_59_1_Rate,Age50_59_2_Inoc,Age50_59_2_Rate,Age50_59_3_Inoc,Age50_59_3_Rate,Age50_59_4_Inoc,Age50_59_4_Rate,Age50_59_Winter_Inoc,Age50_59_Winter_Rate,Age40_49_Population,Age40_49_1_Inoc,Age40_49_1_Rate,Age40_49_2_Inoc,Age40_49_2_Rate,Age40_49_3_Inoc,Age40_49_3_Rate,Age40_49_4_Inoc,Age40_49_4_Rate,Age40_49_Winter_Inoc,Age40_49_Winter_Rate,Age30_39_Population,Age30_39_1_Inoc,Age30_39_1_Rate,Age30_39_2_Inoc,Age30_39_2_Rate,Age30_39_3_Inoc,Age30_39_3_Rate,Age30_39_4_Inoc,Age30_39_4_Rate,Age30_39_Winter_Inoc,Age30_39_Winter_Rate,Age20_29_Population,Age20_29_1_Inoc,Age20_29_1_Rate,Age20_29_2_Inoc,Age20_29_2_Rate,Age20_29_3_Inoc,Age20_29_3_Rate,Age20_29_4_Inoc,Age20_29_4_Rate,Age20_29_Winter_Inoc,Age20_29_Winter_Rate,Age18_19_Population,Age18_19_1_Inoc,Age18_19_1_Rate,Age18_19_2_Inoc,Age18_19_2_Rate,Age18_19_3_Inoc,Age18_19_3_Rate,Age18_19_4_Inoc,Age18_19_4_Rate,Age18_19_Winter_Inoc,Age18_19_Winter_Rate,Age12_17_Population,Age12_17_1_Inoc,Age12_17_1_Rate,Age12_17_2_Inoc,Age12_17_2_Rate,Age12_17_3_Inoc,Age12_17_3_Rate,Age12_17_4_Inoc,Age12_17_4_Rate,Age12_17_Winter_Inoc,Age12_17_Winter_Rate,Age5_11_Population,Age5_11_1_Inoc,Age5_11_1_Rate,Age5_11_2_Inoc,Age5_11_2_Rate,Age5_11_3_Inoc,Age5_11_3_Rate,Age5_11_4_Inoc,Age5_11_4_Rate,Age5_11_Winter_Inoc,Age5_11_Winter_Rate,Age4Less_Population,Age4Less_1_Inoc,Age4Less_1_Rate,Age4Less_2_Inoc,Age4Less_2_Rate,Age4Less_3_Inoc,Age4Less_3_Rate,Age4Less_4_Inoc,Age4Less_4_Rate,Age4Less_Winter_Inoc,Age4Less_Winter_Rate
2022-11-24,51317389,45128031,87.94,44698493,87.1,33700823,65.67,7586265,14.78,2414291,4.7,2455738,2244970,91.4,2224192,90.6,2100341,85.5,1373905,55.9,476450,19.4,3883747,3753897,96.7,3737313,96.2,3588355,92.4,2140991,55.1,794505,20.5,7404447,7260428,98.1,7227898,97.6,6706493,90.6,2567607,34.7,806178,10.9,8574374,8449752,98.5,8404347,98,7081867,82.6,1368376,16,163467,1.9,8035809,7743022,96.4,7676368,95.5,5484418,68.2,81506,1,93174,1.2,6591585,6407951,97.2,6318024,95.8,3933624,59.7,32115,0.5,46611,0.7,6404726,6382685,99.7,6317669,98.6,3885934,60.7,20804,0.3,31478,0.5,963728,918056,95.3,909671,94.4,603615,62.6,961,0.1,2428,0.3,2768928,1911130,69,1839936,66.4,316176,11.4,0,0,0,0,3067614,56140,1.8,43075,1.4,0,0,0,0,0,0,1166693,0,0,0,0,0,0,0,0,0,0
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,51317389,45130732,87.94,44701029,87.11,33712803,65.69,7594170,14.8,3048244,5.94,2455738,2245248,91.4,2224373,90.6,2100407,85.5,1374365,56,576011,23.5,3883747,3754067,96.7,3737460,96.2,3588508,92.4,2142207,55.2,952754,24.5,7404447,7260687,98.1,7228152,97.6,6706869,90.6,2569866,34.7,1002180,13.5,8574374,8449990,98.5,8404596,98,7082691,82.6,1371653,16,252077,2.9,8035809,7743292,96.4,7676637,95.5,5485964,68.3,81886,1,136328,1.7,6591585,6408404,97.2,6318465,95.9,3936412,59.7,32298,0.5,70311,1.1,6404726,6383071,99.7,6318064,98.6,3890150,60.7,20918,0.3,54074,0.8,963728,918086,95.3,909705,94.4,604211,62.7,977,0.1,4509,0.5,2768928,1911448,69,1840265,66.5,317591,11.5,0,0,0,0,3067614,56439,1.8,43312,1.4,0,0,0,0,0,0,1166693,0,0,0,0,0,0,0,0,0,0
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
