tDate,VaccinationPopulation,T_SideEffectCase,T_GeneralSideEffect,T_SeriousSideEffect_Sum,T_SeriousSideEffect_Death,T_SeriousSideEffectCase_Major,Man_VaccinationPopulation,Man_SideEffectCase,Man_GeneralSideEffect,Man_SeriousSideEffect_Sum,Man_SeriousSideEffect_Death,Man_SeriousSideEffectCase_Major,Woman_VaccinationPopulation,Woman_SideEffectCase,Woman_GeneralSideEffect,Woman_SeriousSideEffect_Sum,Woman_SeriousSideEffect_Death,Woman_SeriousSideEffectCase_Major,Age19Less_VaccinationPopulation,Age19Less_SideEffectCase,Age19Less_GeneralSideEffect,Age19Less_SeriousSideEffect_Sum,Age19Less_SeriousSideEffect_Death,Age19Less_SeriousSideEffectCase_Major,Age20-29_VaccinationPopulation,Age20-29_SideEffectCase,Age20-29_GeneralSideEffect,Age20-29_SeriousSideEffect_Sum,Age20-29_SeriousSideEffect_Death,Age20-29_SeriousSideEffectCase_Major,Age30-39_VaccinationPopulation,Age30-39_SideEffectCase,Age30-39_GeneralSideEffect,Age30-39_SeriousSideEffect_Sum,Age30-39_SeriousSideEffect_Death,Age30-39_SeriousSideEffectCase_Major,Age40-49_VaccinationPopulation,Age40-49_SideEffectCase,Age40-49_GeneralSideEffect,Age40-49_SeriousSideEffect_Sum,Age40-49_SeriousSideEffect_Death,Age40-49_SeriousSideEffectCase_Major,Age50-59_VaccinationPopulation,Age50-59_SideEffectCase,Age50-59_GeneralSideEffect,Age50-59_SeriousSideEffect_Sum,Age50-59_SeriousSideEffect_Death,Age50-59_SeriousSideEffectCase_Major,Age60-69_VaccinationPopulation,Age60-69_SideEffectCase,Age60-69_GeneralSideEffect,Age60-69_SeriousSideEffect_Sum,Age60-69_SeriousSideEffect_Death,Age60-69_SeriousSideEffectCase_Major,Age70-79_VaccinationPopulation,Age70-79_SideEffectCase,Age70-79_GeneralSideEffect,Age70-79_SeriousSideEffect_Sum,Age70-79_SeriousSideEffect_Death,Age70-79_SeriousSideEffectCase_Major,Age80-89_VaccinationPopulation,Age80-89_SideEffectCase,Age80-89_GeneralSideEffect,Age80-89_SeriousSideEffect_Sum,Age80-89_SeriousSideEffect_Death,Age80-89_SeriousSideEffectCase_Major,AZ_VaccinationPopulation,AZ_SideEffectCase,AZ_GeneralSideEffect,AZ_SeriousSideEffect_Sum,AZ_SeriousSideEffect_Death,AZ_SeriousSideEffectCase_Major,PF_VaccinationPopulation,PF_SideEffectCase,PF_GeneralSideEffect,PF_SeriousSideEffect_Sum,PF_SeriousSideEffect_Death,PF_SeriousSideEffectCase_Major,M_VaccinationPopulation,M_SideEffectCase,M_GeneralSideEffect,M_SeriousSideEffect_Sum,M_SeriousSideEffect_Death,M_SeriousSideEffectCase_Major,J_VaccinationPopulation,J_SideEffectCase,J_GeneralSideEffect,J_SeriousSideEffect_Sum,J_SeriousSideEffect_Death,J_SeriousSideEffectCase_Major,NV_VaccinationPopulation,NV_SideEffectCase,NV_GeneralSideEffect,NV_SeriousSideEffect_Sum,NV_SeriousSideEffect_Death,NV_SeriousSideEffectCase_Major,SC_VaccinationPopulation,SC_SideEffectCase,SC_GeneralSideEffect,SC_SeriousSideEffect_Sum,SC_SeriousSideEffect_Death,SC_SeriousSideEffectCase_Major,M_BA_1_VaccinationPopulation,M_BA_1_SideEffectCase,M_BA_1_GeneralSideEffect,M_BA_1_SeriousSideEffect_Sum,M_BA_1_SeriousSideEffect_Death,M_BA_1_SeriousSideEffectCase_Major,PF_BA_1_VaccinationPopulation,PF_BA_1_SideEffectCase,PF_BA_1_GeneralSideEffect,PF_BA_1_SeriousSideEffect_Sum,PF_BA_1_SeriousSideEffect_Death,PF_BA_1_SeriousSideEffectCase_Major,PF_BA_4mod5_VaccinationPopulation,PF_BA_4mod5_SideEffectCase,PF_BA_4mod5_GeneralSideEffect,PF_BA_4mod5_SeriousSideEffect_Sum,PF_BA_4mod5_SeriousSideEffect_Death,PF_BA_4mod5_SeriousSideEffectCase_Major,1_VaccinationPopulation,1_SideEffectCase,1_GeneralSideEffect,1_SeriousSideEffect_Sum,1_SeriousSideEffect_Death,1_SeriousSideEffectCase_Major,2_VaccinationPopulation,2_SideEffectCase,2_GeneralSideEffect,2_SeriousSideEffect_Sum,2_SeriousSideEffect_Death,2_SeriousSideEffectCase_Major,3_VaccinationPopulation,3_SideEffectCase,3_GeneralSideEffect,3_SeriousSideEffect_Sum,3_SeriousSideEffect_Death,3_SeriousSideEffectCase_Major,4_VaccinationPopulation,4_SideEffectCase,4_GeneralSideEffect,4_SeriousSideEffect_Sum,4_SeriousSideEffect_Death,4_SeriousSideEffectCase_Major,Winter_VaccinationPopulation,Winter_SideEffectCase,Winter_GeneralSideEffect,Winter_SeriousSideEffect_Sum,Winter_SeriousSideEffect_Death,Winter_SeriousSideEffectCase_Major
2022-11-10,130155525,479712,460432,19280,18967,17384,64502865,172656,163670,8986,12117,7775,65652660,307056,296762,10294,6857,9609,8062203,26577,25805,772,127,760,17022437,81436,79459,1977,437,1934,15923268,78472,76198,2274,887,2186,20953059,80828,78212,2616,1497,2467,25338311,83570,80468,3102,2747,2828,22972215,80220,76000,4220,4377,3783,13086582,35583,32877,2706,4177,2289,6797450,13026,11413,1613,4767,1137,20348862,110320,104540,5780,4777,5303,81083512,245876,235568,10308,1107,9201,25143952,113038,110347,2691,279,2412,1509960,8883,8476,4077,15,392,874900,1195,1125,70,16,54,2987,1,1,0,0,0,1191349,399,375,247,2,22,3,0,0,0,0,0,44866935,241036,230653,10383,6277,9756,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,
